Protein	EC
WP_003514556.1	EC:3.4.21
WP_041740090.1	EC:2.3.1.5
WP_003513016.1	EC:2.3.1.5
WP_003512627.1	EC:6
ADU74532.1	EC:2.1.1
WP_003515965.1	EC:2.3.1.5
WP_003513378.1	EC:4
WP_003512947.1	EC:3.4.21
WP_003515426.1	EC:3.4
ADU73591.1	EC:3.2.1.4
WP_003514110.1	EC:3
WP_004463341.1	EC:2.1.1
WP_037295074.1	EC:2.1.1
WP_080514909.1	EC:3.2.2;EC:4.2.99.18
